Price,Close,Close,Close,Close,Dividends,Dividends,Dividends,Dividends,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-04,6.412380695343018,6.695000171661377,15.483123779296875,23.07737922668457,0.0,0.0,0.0,0.0,6.427062499310299,6.83050012588501,15.5513058085073,23.189224073060995,6.363541094374581,6.6570000648498535,15.421116640649643,22.80895045763365,6.395002160025777,6.8125,15.48806425929252,22.831319995782685,0.0,0.0,0.0,0.0,493729600,151998000,78541293,38409100
2010-01-05,6.423469543457031,6.734499931335449,15.414941787719727,23.0848331451416,0.0,0.0,0.0,0.0,6.459724811076854,6.77400016784668,15.510050993887603,23.189222895685933,6.389610971174252,6.5904998779296875,15.354416887514274,22.846230439070524,6.430061555769471,6.671500205993652,15.493746369362842,23.002814353794864,0.0,0.0,0.0,0.0,601904800,177038000,120638494,49749600
2010-01-06,6.321296691894531,6.612500190734863,15.026350021362305,22.943172454833984,0.0,0.0,0.0,0.0,6.448939239832555,6.736499786376953,15.46113684800329,23.174318736998828,6.314704678602895,6.582499980926514,14.979413097344569,22.756763841627052,6.423470497618768,6.730000019073486,15.46113684800329,23.025191277559337,0.0,0.0,0.0,0.0,552160000,143576000,159744526,58182400
2010-01-07,6.309609413146973,6.5,14.676543235778809,22.704565048217773,0.0,0.0,0.0,0.0,6.35215745553289,6.616000175476074,15.069334554179608,22.890973623581846,6.2637661647555,6.440000057220459,14.640722628976402,22.510699959176993,6.344666532568945,6.600500106811523,15.054512168888374,22.83877802784487,0.0,0.0,0.0,0.0,477131200,220604000,257533695,50559700
2010-01-08,6.351557731628418,6.676000118255615,14.872198104858398,22.86115074157715,0.0,0.0,0.0,0.0,6.352157405510102,6.684000015258789,14.90258352242368,23.025189798676656,6.264066552443561,6.451499938964844,14.55327182375201,22.547984234616443,6.301219929854986,6.5279998779296875,14.624665210924974,22.577810293462587,0.0,0.0,0.0,0.0,447610800,196610000,189680313,51197400
2010-01-11,6.295528411865234,6.515500068664551,14.849719047546387,22.570348739624023,0.0,0.0,0.0,0.0,6.382121091125056,6.639999866485596,14.932476586817135,22.93570934580916,6.2457894776861576,6.4604997634887695,14.67506270875215,22.45850388829134,6.376128352055447,6.63100004196167,14.932476586817135,22.898426780575303,0.0,0.0,0.0,0.0,462229600,175588000,289597429,68754700
2010-01-12,6.223916053771973,6.367499828338623,14.587114334106445,22.42122459411621,0.0,0.0,0.0,0.0,6.285340829864043,6.491000175476074,14.776839909186185,22.66728387181977,6.184964449506349,6.327499866485596,14.52584973958188,22.301923212331737,6.267961486307073,6.44950008392334,14.764241355356011,22.480875285008448,0.0,0.0,0.0,0.0,594459600,181926000,194859654,65912100
2010-01-13,6.31170654296875,6.45550012588501,14.503369331359863,22.630006790161133,0.0,0.0,0.0,0.0,6.320096376251566,6.485499858856201,14.53523698716736,22.756764708859833,6.115449572171949,6.287499904632568,14.177526570839124,22.37649095276373,6.2284102842913915,6.394999980926514,14.241508764560553,22.56289957307447,0.0,0.0,0.0,0.0,605892000,214464000,260838034,51863500
2010-01-14,6.275150775909424,6.367499828338623,14.571553230285645,23.0848331451416,0.0,0.0,0.0,0.0,6.306012970643099,6.519000053405762,14.679015058820323,23.189222895685933,6.262866065413977,6.320000171661377,14.397637545017885,22.562890081157192,6.295526081202965,6.456999778747559,14.424564722682083,22.600171220661682,0.0,0.0,0.0,0.0,432894000,195498000,170239717,63228100
2010-01-15,6.170282363891602,6.35699987411499,14.32822036743164,23.01027488708496,0.0,0.0,0.0,0.0,6.340172910517019,6.482500076293945,14.663204413453677,23.29361529451088,6.168484542229492,6.353000164031982,14.279800255803973,22.898428604658186,6.320097235290131,6.459000110626221,14.65776922305315,23.17431392062791,0.0,0.0,0.0,0.0,594067600,307530000,218194794,79913200
2010-01-19,6.443243980407715,6.380499839782715,14.516463279724121,23.189224243164062,0.0,0.0,0.0,0.0,6.447738533699135,6.400000095367432,14.585634730480058,23.293612577589876,6.209533209992575,6.2164998054504395,14.236568955074109,22.876057817702236,6.242192430429153,6.315499782562256,14.357864693629432,22.928251984915143,0.0,0.0,0.0,0.0,730007600,177852000,173315202,46575700
2010-01-20,6.3440680503845215,6.289000034332275,14.338349342346191,22.808956146240234,0.0,0.0,0.0,0.0,6.458526159944489,6.460000038146973,14.475949711760178,23.06992846766191,6.2772502135695065,6.254000186920166,14.21186529009499,22.600178004665946,6.439349796022371,6.356500148773193,14.475949711760178,22.972995200358415,0.0,0.0,0.0,0.0,612152800,181494000,130515377,54849500
2010-01-21,6.234401226043701,6.330999851226807,14.401836395263672,22.376489639282227,0.0,0.0,0.0,0.0,6.391407747785781,6.40749979019165,14.496699661823609,22.905889407240647,6.208633254951915,6.25,14.136764470526003,22.3690331242453,6.354553612393934,6.36299991607666,14.413200539373147,22.823870586204094,0.0,0.0,0.0,0.0,608154400,199412000,253253712,73086700
2010-01-22,5.925184726715088,6.071499824523926,13.587350845336914,21.593563079833984,0.0,0.0,0.0,0.0,6.217323935224247,6.383500099182129,14.096002683678861,22.51815062505353,5.90750694778653,6.038000106811523,13.213087051434286,21.504087783318674,6.195750876171056,6.28000020980835,13.945309070200773,22.369023234615746,0.0,0.0,0.0,0.0,881767600,231378000,273035583,102004600
2010-01-25,6.084589004516602,6.015500068664551,13.340065956115723,21.861995697021484,0.0,0.0,0.0,0.0,6.1334282326116565,6.113999843597412,13.58413965000968,22.115511452486352,5.99829555354718,5.906000137329102,13.229145897800686,21.697956676149577,6.067809733496142,6.105000019073486,13.50286341547141,21.80234501468766,0.0,0.0,0.0,0.0,1065699600,240478000,177458675,63373000
2010-01-26,6.170581340789795,5.973999977111816,13.399849891662598,21.9962100982666,0.0,0.0,0.0,0.0,6.4033940204885855,6.14900016784668,13.577222862130439,22.257182366920212,6.069905738776532,5.953000068664551,13.248415622938442,21.69050017338748,6.170880977701429,6.0279998779296875,13.289917356546649,21.77252039495462,0.0,0.0,0.0,0.0,1867110000,191180000,174873019,66639900
