Price,Close,Close,Close,Close,Dividends,Dividends,Dividends,Dividends,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-04,6.41238260269165,6.695000171661377,15.483122825622559,23.077377319335938,0.0,0.0,0.0,0.0,6.427064411026002,6.83050012588501,15.55130485063335,23.189222156468368,6.363542987195981,6.6570000648498535,15.421115690794622,22.80894857247069,6.395004062205203,6.8125,15.488063305313897,22.831318108770883,0.0,0.0,0.0,0.0,493729600,151998000,78541293,38409100
2010-01-05,6.423468589782715,6.734499931335449,15.41494083404541,23.084840774536133,0.0,0.0,0.0,0.0,6.459723852019821,6.77400016784668,15.510050034329177,23.18923055958063,6.389610022526822,6.5904998779296875,15.354415937584445,22.846237989608337,6.430060601116457,6.671500205993652,15.493745410813132,23.00282195608269,0.0,0.0,0.0,0.0,601904800,177038000,120638494,49749600
2010-01-06,6.321294784545898,6.612500190734863,15.026350021362305,22.94317054748535,0.0,0.0,0.0,0.0,6.4489372939698555,6.736499786376953,15.46113684800329,23.17431681043417,6.314702773243294,6.582499980926514,14.979413097344569,22.75676194977524,6.423468559440848,6.730000019073486,15.46113684800329,23.025189363392183,0.0,0.0,0.0,0.0,552160000,143576000,159744526,58182400
2010-01-07,6.309609413146973,6.5,14.676543235778809,22.704565048217773,0.0,0.0,0.0,0.0,6.35215745553289,6.616000175476074,15.069334554179608,22.890973623581846,6.2637661647555,6.440000057220459,14.640722628976402,22.510699959176993,6.344666532568945,6.600500106811523,15.054512168888374,22.83877802784487,0.0,0.0,0.0,0.0,477131200,220604000,257533695,50559700
2010-01-08,6.351558685302734,6.676000118255615,14.872198104858398,22.86114501953125,0.0,0.0,0.0,0.0,6.352158359274458,6.684000015258789,14.90258352242368,23.0251840355725,6.264067492981243,6.451499938964844,14.55327182375201,22.54797859095475,6.301220875971177,6.5279998779296875,14.624665210924974,22.577804642335565,0.0,0.0,0.0,0.0,447610800,196610000,189680313,51197400
2010-01-11,6.295527458190918,6.515500068664551,14.849719047546387,22.570354461669922,0.0,0.0,0.0,0.0,6.382120124333299,6.639999866485596,14.932476586817135,22.935715160481458,6.245788531546514,6.4604997634887695,14.67506270875215,22.458509581982277,6.376127386171497,6.63100004196167,14.932476586817135,22.898432585795707,0.0,0.0,0.0,0.0,462229600,175588000,289597429,68754700
2010-01-12,6.223915100097656,6.367499828338623,14.587115287780762,22.421222686767578,0.0,0.0,0.0,0.0,6.285339866777769,6.491000175476074,14.776840875264353,22.667281943539148,6.184963501800485,6.327499866485596,14.525850689250849,22.30192131513194,6.26796052588379,6.44950008392334,14.764242320610514,22.480873372585396,0.0,0.0,0.0,0.0,594459600,181926000,194859654,65912100
2010-01-13,6.311707496643066,6.45550012588501,14.503369331359863,22.6300048828125,0.0,0.0,0.0,0.0,6.320097331193554,6.485499858856201,14.53523698716736,22.75676279082753,6.115450496192601,6.287499904632568,14.177526570839124,22.376489066782437,6.2284112253799675,6.394999980926514,14.241508764560553,22.562897671381908,0.0,0.0,0.0,0.0,605892000,214464000,260838034,51863500
2010-01-14,6.275152206420898,6.367499828338623,14.571552276611328,23.084840774536133,0.0,0.0,0.0,0.0,6.306014408190058,6.519000053405762,14.679014098112878,23.18923055958063,6.262867493124975,6.320000171661377,14.397636602725946,22.56289753805277,6.295527516359286,6.456999778747559,14.424563778627824,22.600178689878447,0.0,0.0,0.0,0.0,432894000,195498000,170239717,63228100
2010-01-15,6.170281410217285,6.35699987411499,14.328218460083008,23.01027488708496,0.0,0.0,0.0,0.0,6.340171930584544,6.482500076293945,14.66320246151253,23.29361529451088,6.168483588833046,6.353000164031982,14.279798354900944,22.898428604658186,6.320096258460539,6.459000110626221,14.657767271835526,23.17431392062791,0.0,0.0,0.0,0.0,594067600,307530000,218194794,79913200
2010-01-19,6.443245887756348,6.380499839782715,14.516462326049805,23.189233779907227,0.0,0.0,0.0,0.0,6.447740442378259,6.400000095367432,14.585633772261449,23.293622157263528,6.209535048157436,6.2164998054504395,14.236568019787743,22.876067225653347,6.242194278261896,6.315499782562256,14.357863750374417,22.928261414331498,0.0,0.0,0.0,0.0,730007600,177852000,173315202,46575700
2010-01-20,6.344069004058838,6.289000034332275,14.338348388671875,22.808958053588867,0.0,0.0,0.0,0.0,6.458527130824762,6.460000038146973,14.475948748933767,23.06993039683378,6.277251157199408,6.254000186920166,14.2118643448334,22.600179894555968,6.4393507640199505,6.356500148773193,14.475948748933767,22.972997121424456,0.0,0.0,0.0,0.0,612152800,181494000,130515377,54849500
2010-01-21,6.234403133392334,6.330999851226807,14.401835441589355,22.376483917236328,0.0,0.0,0.0,0.0,6.391409703168886,6.40749979019165,14.496698701867547,22.905883549818302,6.208635154417112,6.25,14.13676353440447,22.36902740410616,6.354555556501909,6.36299991607666,14.413199584946309,22.823864749755344,0.0,0.0,0.0,0.0,608154400,199412000,253253712,73086700
2010-01-22,5.92518424987793,6.071499824523926,13.58735179901123,21.593570709228516,0.0,0.0,0.0,0.0,6.217323434876795,6.383500099182129,14.096003673054634,22.518158581121483,5.907506472372014,6.038000106811523,13.213087978839628,21.50409538109997,6.195750377559725,6.28000020980835,13.945310048999602,22.36903113799431,0.0,0.0,0.0,0.0,881767600,231378000,273035583,102004600
2010-01-25,6.084588527679443,6.015500068664551,13.340066909790039,21.86199951171875,0.0,0.0,0.0,0.0,6.133427751947065,6.113999843597412,13.584140621132695,22.115515311419557,5.9982950834726685,5.906000137329102,13.229146843545385,21.697960462223694,6.067809257973941,6.105000019073486,13.50286438078403,21.802348818976483,0.0,0.0,0.0,0.0,1065699600,240478000,177458675,63373000
2010-01-26,6.170580863952637,5.973999977111816,13.39985179901123,21.996212005615234,0.0,0.0,0.0,0.0,6.403393525660621,6.14900016784668,13.577224794726527,22.25718429689843,6.06990526971917,5.953000068664551,13.248417508731762,21.69050205422721,6.170880500841116,6.0279998779296875,13.28991924824737,21.772522282906536,0.0,0.0,0.0,0.0,1867110000,191180000,174873019,66639900
